timestamp,video_id,confidence,threshold,is_abnormal
2026-02-10T20:03:34.561294,cam1,0.173851,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200330_cam1_0.174.mp4,alert_start
2026-02-10T20:03:40.247368,cam1,0.141083,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:03:45.918849,cam1,0.142202,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:03:51.560182,cam1,0.076998,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:03:57.199705,cam1,0.114029,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:04:02.824658,cam1,0.151022,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:04:08.472044,cam1,0.150121,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:04:14.128314,cam1,0.169530,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200410_cam1_0.170.mp4,alert_start
2026-02-10T20:04:19.800296,cam1,0.186144,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200415_cam1_0.186.mp4,alert_start
2026-02-10T20:04:25.348773,cam1,0.108791,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:04:31.029363,cam1,0.214346,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200426_cam1_0.214.mp4,alert_start
2026-02-10T20:04:36.626716,cam1,0.163844,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200432_cam1_0.164.mp4,alert_start
2026-02-10T20:04:42.258395,cam1,0.169495,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200438_cam1_0.169.mp4,alert_start
2026-02-10T20:04:47.946547,cam1,0.161020,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200443_cam1_0.161.mp4,alert_start
2026-02-10T20:04:53.503272,cam1,0.232187,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200449_cam1_0.232.mp4,alert_start
2026-02-10T20:04:59.033904,cam1,0.236993,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200454_cam1_0.237.mp4,alert_start
2026-02-10T20:05:04.657446,cam1,0.254885,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200500_cam1_0.255.mp4,alert_start
2026-02-10T20:05:10.313040,cam1,0.245024,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200506_cam1_0.245.mp4,alert_start
2026-02-10T20:05:15.977103,cam1,0.190972,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200511_cam1_0.191.mp4,alert_start
2026-02-10T20:05:21.624079,cam1,0.156938,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:05:27.147737,cam1,0.101480,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:05:32.745080,cam1,0.183498,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200528_cam1_0.183.mp4,alert_start
2026-02-10T20:05:38.333388,cam1,0.196895,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200534_cam1_0.197.mp4,alert_start
2026-02-10T20:05:43.931899,cam1,0.238359,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200539_cam1_0.238.mp4,alert_start
2026-02-10T20:05:49.570905,cam1,0.040801,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:05:55.218670,cam1,0.041795,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:06:00.866438,cam1,0.041141,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:06:06.438912,cam1,0.042019,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:06:12.011213,cam1,0.042027,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:06:17.600875,cam1,0.004011,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:06:23.265560,cam1,0.002931,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:06:28.796289,cam1,0.002717,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:06:34.441245,cam1,0.002511,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:06:40.224460,cam1,0.016057,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:06:45.873170,cam1,0.092447,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:06:51.538821,cam1,0.024619,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:06:57.211339,cam1,0.048920,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:07:02.929666,cam1,0.022770,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:07:08.664808,cam1,0.035365,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:07:14.302064,cam1,0.833560,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200710_cam1_0.834.mp4,alert_start
2026-02-10T20:07:19.959199,cam1,0.405801,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200715_cam1_0.406.mp4,alert_start
2026-02-10T20:07:25.557279,cam1,0.418780,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200721_cam1_0.419.mp4,alert_start
2026-02-10T20:07:31.201591,cam1,0.022514,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:07:37.035944,cam1,0.085675,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:07:42.645172,cam1,0.141167,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:07:48.227222,cam1,0.148925,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:07:53.911163,cam1,0.143771,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:07:59.488567,cam1,0.145788,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:08:05.119921,cam1,0.155011,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:08:10.868473,cam1,0.292959,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200806_cam1_0.293.mp4,alert_start
2026-02-10T20:08:16.692628,cam1,0.313204,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200812_cam1_0.313.mp4,alert_start
2026-02-10T20:08:22.282663,cam1,0.314608,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200818_cam1_0.315.mp4,alert_start
2026-02-10T20:08:28.081660,cam1,0.008070,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:08:33.681459,cam1,0.009411,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:08:39.241432,cam1,0.008032,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:08:44.848747,cam1,0.012141,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:08:50.655193,cam1,0.013293,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:08:56.234252,cam1,0.007844,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:09:01.732099,cam1,0.174629,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200857_cam1_0.175.mp4,alert_start
2026-02-10T20:09:07.412563,cam1,0.174345,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200903_cam1_0.174.mp4,alert_start
